Servicing option,Update type,Availability date,Build,KB article
General Availability Channel,2024-10 B,2024-10-08,22000.3260,KB5044280
General Availability Channel,2024-09 B,2024-09-10,22000.3197,KB5043067
General Availability Channel,2024-08 B,2024-08-13,22000.3147,KB5041592
General Availability Channel,2024-07 B,2024-07-09,22000.3079,KB5040431
General Availability Channel,2024-06 B,2024-06-11,22000.3019,KB5039213
General Availability Channel,2024-05 B,2024-05-14,22000.2960,KB5037770
General Availability Channel,2024-04 B,2024-04-09,22000.2899,KB5036894
General Availability Channel,2024-03 B,2024-03-12,22000.2836,KB5035854
General Availability Channel,2024-02 B,2024-02-13,22000.2777,KB5034766
General Availability Channel,2024-01 B,2024-01-09,22000.2713,KB5034121
General Availability Channel,2023-12 B,2023-12-12,22000.2652,KB5033369
General Availability Channel,2023-11 B,2023-11-14,22000.2600,KB5032192
General Availability Channel,2023-10 B,2023-10-10,22000.2538,KB5031358
General Availability Channel,2023-09 D,2023-09-26,22000.2482,KB5030301
General Availability Channel,2023-09 B,2023-09-12,22000.2416,KB5030217
General Availability Channel,2023-08 D,2023-08-22,22000.2360,KB5029332
General Availability Channel,2023-08 B,2023-08-08,22000.2295,KB5029253
General Availability Channel,2023-07 D,2023-07-25,22000.2245,KB5028245
General Availability Channel,2023-07 B,2023-07-11,22000.2176,KB5028182
General Availability Channel,2023-06 D,2023-06-28,22000.2124,KB5027292
General Availability Channel,2023-06 B,2023-06-13,22000.2057,KB5027223
General Availability Channel,2023-05 D,2023-05-23,22000.2003,KB5026436
General Availability Channel,2023-05 B,2023-05-09,22000.1936,KB5026368
General Availability Channel,2023-04 D,2023-04-25,22000.1880,KB5025298
General Availability Channel,2023-04 B,2023-04-11,22000.1817,KB5025224
General Availability Channel,2023-03 C,2023-03-28,22000.1761,KB5023774
General Availability Channel,2023-03 B,2023-03-14,22000.1696,KB5023698
General Availability Channel,2023-02 C,2023-02-21,22000.1641,KB5022905
General Availability Channel,2023-02 B,2023-02-14,22000.1574,KB5022836
General Availability Channel,2023-01 C,2023-01-19,22000.1516,KB5019274
General Availability Channel,2023-01 B,2023-01-10,22000.1455,KB5022287
General Availability Channel,2022-12 B,2022-12-13,22000.1335,KB5021234
General Availability Channel,2022-11 C,2022-11-15,22000.1281,KB5019157
General Availability Channel,2022-11 B,2022-11-08,22000.1219,KB5019961
General Availability Channel,2022-10 C,2022-10-25,22000.1165,KB5018483
General Availability Channel,2022-10 OOB,2022-10-17,22000.1100,KB5020387
General Availability Channel,2022-10 B,2022-10-11,22000.1098,KB5018418
General Availability Channel,2022-09 C,2022-09-20,22000.1042,KB5017383
General Availability Channel,2022-09 B,2022-09-13,22000.978,KB5017328
General Availability Channel,2022-08 C,2022-08-25,22000.918,KB5016691
General Availability Channel,2022-08 B,2022-08-09,22000.856,KB5016629
General Availability Channel,2022-07 C,2022-07-21,22000.832,KB5015882
General Availability Channel,2022-07 B,2022-07-12,22000.795,KB5015814
General Availability Channel,2022-06 C,2022-06-23,22000.778,KB5014668
General Availability Channel,2022-06 OOB,2022-06-20,22000.740,KB5016138
General Availability Channel,2022-06 B,2022-06-14,22000.739,KB5014697
General Availability Channel,2022-05 C,2022-05-24,22000.708,KB5014019
General Availability Channel,2022-05 B,2022-05-10,22000.675,KB5013943
General Availability Channel,2022-04 C,2022-04-25,22000.652,KB5012643
General Availability Channel,2022-04 B,2022-04-12,22000.613,KB5012592
General Availability Channel,2022-03 C,2022-03-28,22000.593,KB5011563
General Availability Channel,2022-03 B,2022-03-08,22000.556,KB5011493
General Availability Channel,2022-02 C,2022-02-15,22000.527,KB5010414
General Availability Channel,2022-02 B,2022-02-08,22000.493,KB5010386
General Availability Channel,2022-01 C,2022-01-25,22000.469,KB5008353
General Availability Channel,2022-01 OOB,2022-01-17,22000.438,KB5010795
General Availability Channel,2022-01 B,2022-01-11,22000.434,KB5009566
General Availability Channel,2021-12 B,2021-12-14,22000.376,KB5008215
General Availability Channel,2021-11 C,2021-11-22,22000.348,KB5007262
General Availability Channel,2021-11 B,2021-11-09,22000.318,KB5007215
General Availability Channel,2021-10 C,2021-10-21,22000.282,KB5006746
General Availability Channel,2021-10 B,2021-10-12,22000.258,KB5006674
General Availability Channel,2021-10 A,2021-10-04,22000.194,
