Servicing option,Update type,Availability date,Build,KB article
General Availability Channel,2025-03 B,2025-03-11,22631.5039,KB5053602
General Availability Channel,2025-02 D,2025-02-25,22631.4974,KB5052094
General Availability Channel,2025-02 B,2025-02-11,22631.4890,KB5051989
General Availability Channel,2025-01 D,2025-01-29,22631.4830,KB5050092
General Availability Channel,2025-01 B,2025-01-14,22631.4751,KB5050021
General Availability Channel,2024-12 B,2024-12-10,22631.4602,KB5048685
General Availability Channel,2024-11 D,2024-11-21,22631.4541,KB5046732
General Availability Channel,2024-11 B,2024-11-12,22631.4460,KB5046633
General Availability Channel,2024-10 D,2024-10-22,22631.4391,KB5044380
General Availability Channel,2024-10 B,2024-10-08,22631.4317,KB5044285
General Availability Channel,2024-09 D,2024-09-26,22631.4249,KB5043145
General Availability Channel,2024-09 B,2024-09-10,22631.4169,KB5043076
General Availability Channel,2024-08 D,2024-08-27,22631.4112,KB5041587
General Availability Channel,2024-08 B,2024-08-13,22631.4037,KB5041585
General Availability Channel,2024-07 D,2024-07-25,22631.3958,KB5040527
General Availability Channel,2024-07 B,2024-07-09,22631.3880,KB5040442
General Availability Channel,2024-06 D,2024-06-25,22631.3810,KB5039302
General Availability Channel,2024-06 B,2024-06-11,22631.3737,KB5039212
General Availability Channel,2024-05 D,2024-05-29,22631.3672,KB5037853
General Availability Channel,2024-05 B,2024-05-14,22631.3593,KB5037771
General Availability Channel,2024-04 D,2024-04-23,22631.3527,KB5036980
General Availability Channel,2024-04 B,2024-04-09,22631.3447,KB5036893
General Availability Channel,2024-03 D,2024-03-26,22631.3374,KB5035942
General Availability Channel,2024-03 B,2024-03-12,22631.3296,KB5035853
General Availability Channel,2024-02 D,2024-02-29,22631.3235,KB5034848
General Availability Channel,2024-02 B,2024-02-13,22631.3155,KB5034765
General Availability Channel,2024-01 D,2024-01-23,22631.3085,KB5034204
General Availability Channel,2024-01 B,2024-01-09,22631.3007,KB5034123
General Availability Channel,2023-12 B,2023-12-12,22631.2861,KB5033375
General Availability Channel,2023-11 D,2023-12-04,22631.2792,KB5032288
General Availability Channel,2023-11 B,2023-11-14,22631.2715,KB5032190
General Availability Channel,2023-10 D,2023-10-31,22631.2506,KB5031455
General Availability Channel,2023-10 D,2023-10-31,22631.2428,
